1	490	335
2	489	326
3	479	324
4	470	326
5	454	375
6	441	456
7	442	498
8	466	527
9	503	536
10	551	542
11	581	528
12	598	523
13	614	518
14	627	502
15	631	495
16	626	489
17	610	483
18	598	482
19	583	489
20	573	494
21	563	497
22	554	500
23	547	504
24	541	499
25	535	478
26	526	455
27	512	437
28	503	428
29	491	427
30	484	458
31	476	476
32	479	516
33	490	553
34	509	584
35	539	638
36	565	687
37	588	722
38	608	781
39	627	804
40	645	816
41	669	816
42	700	803
43	719	786
44	725	767
45	725	759
46	728	728
47	734	660
48	733	623
49	717	582
50	687	550
51	640	520
52	604	493
53	571	472
54	551	451
55	530	429
56	514	425
57	497	421
58	489	420
59	483	417
60	472	413
61	465	408

