01.08.2009	306	364	214
02.08.2009	290	345	210
03.08.2009	281	336	210
04.08.2009	275	319	224
05.08.2009	272	305	255
06.08.2009	276	299	380
07.08.2009	283	307	525
08.08.2009	306	332	557
09.08.2009	326	381	555
10.08.2009	349	489	602
11.08.2009	366	503	641
12.08.2009	382	515	649
13.08.2009	377	529	617
14.08.2009	364	540	566
15.08.2009	355	530	523
16.08.2009	357	512	500
17.08.2009	367	488	473
18.08.2009	384	468	434
19.08.2009	403	445	398
20.08.2009	424	430	370
21.08.2009	446	426	401
22.08.2009	464	437	399
23.08.2009	472	453	405
24.08.2009	474	469	401
25.08.2009	467	479	378
26.08.2009	464	482	359
27.08.2009	471	479	337
28.08.2009	479	471	305
29.08.2009	486	466	289
30.08.2009	491	461	276
31.08.2009	491	458	267
01.09.2009	485	459	258
02.09.2009	479	459	262
03.09.2009	469	458	267
04.09.2009	461	454	262
05.09.2009	445	447	260
06.09.2009	433	441	263
07.09.2009	421	432	266
08.09.2009	408	423	269
09.09.2009	381	415	264
10.09.2009	356	408	262
11.09.2009	349	397	270
12.09.2009	364	389	275
13.09.2009	399	370	280
14.09.2009	423	369	285
15.09.2009	436	376	298
16.09.2009	461	395	310
17.09.2009	493	416	327
18.09.2009	511	443	384
19.09.2009	508	474	413
20.09.2009	496	503	398
21.09.2009	480	518	381
22.09.2009	461	522	357
23.09.2009	451	508	366
24.09.2009	436	482	402
25.09.2009	419	473	487
26.09.2009	400	481	499
27.09.2009	381	486	520
28.09.2009	369	487	538
29.09.2009	360	486	537
30.09.2009	337	482	517
