01.08.2008	291	490	547
02.08.2008	286	489	562
03.08.2008	285	479	481
04.08.2008	375	470	436
05.08.2008	424	454	391
06.08.2008	474	441	386
07.08.2008	486	442	462
08.08.2008	488	466	539
09.08.2008	481	503	577
10.08.2008	476	551	599
11.08.2008	472	581	631
12.08.2008	467	598	678
13.08.2008	459	614	709
14.08.2008	449	627	708
15.08.2008	442	631	691
16.08.2008	439	626	660
17.08.2008	440	610	639
18.08.2008	445	598	616
19.08.2008	449	583	599
20.08.2008	452	573	580
21.08.2008	459	563	558
22.08.2008	459	554	539
23.08.2008	450	547	530
24.08.2008	429	541	516
25.08.2008	410	535	505
26.08.2008	388	526	502
27.08.2008	377	512	493
28.08.2008	388	503	486
29.08.2008	425	491	471
30.08.2008	454	484	456
31.08.2008	465	476	460
01.09.2008	500	479	474
02.09.2008	545	490	504
03.09.2008	597	509	520
04.09.2008	639	539	510
05.09.2008	688	565	489
06.09.2008	730	588	494
07.09.2008	750	608	502
08.09.2008	749	627	509
09.09.2008	741	645	534
10.09.2008	721	669	597
11.09.2008	698	700	647
12.09.2008	679	719	669
13.09.2008	656	725	703
14.09.2008	627	725	736
15.09.2008	585	728	762
16.09.2008	553	734	771
17.09.2008	518	733	741
18.09.2008	487	717	697
19.09.2008	459	687	641
20.09.2008	440	640	599
21.09.2008	418	604	567
22.09.2008	403	571	544
23.09.2008	394	551	532
24.09.2008	384	530	535
25.09.2008	369	514	516
26.09.2008	366	497	521
27.09.2008	366	489	511
28.09.2008	364	483	495
29.09.2008	359	472	486
30.09.2008	352	465	475
