1	335	291
2	326	286
3	324	285
4	326	375
5	375	424
6	456	474
7	498	486
8	527	488
9	536	481
10	542	476
11	528	472
12	523	467
13	518	459
14	502	449
15	495	442
16	489	439
17	483	440
18	482	445
19	489	449
20	494	452
21	497	459
22	500	459
23	504	450
24	499	429
25	478	410
26	455	388
27	437	377
28	428	388
29	427	425
30	458	454
31	476	465
32	516	500
33	553	545
34	584	597
35	638	639
36	687	688
37	722	730
38	781	750
39	804	749
40	816	741
41	816	721
42	803	698
43	786	679
44	767	656
45	759	627
46	728	585
47	660	553
48	623	518
49	582	487
50	550	459
51	520	440
52	493	418
53	472	403
54	451	394
55	429	384
56	425	369
57	421	366
58	420	366
59	417	364
60	413	359
61	408	352
