1	165	389	593
2	168	389	597
3	174	397	601
4	175	408	604
5	199	413	615
6	248	428	619
7	255	446	616
8	260	460	614
9	256	465	610
10	251	471	606
11	244	462	606
12	231	453	605
13	229	450	605
14	251	450	606
15	254	457	607
16	246	460	607
17	238	453	607
18	243	455	606
19	243	450	606
20	237	449	605
21	239	446	607
22	234	445	607
23	230	448	611
24	230	447	613
25	235	451	614
26	234	464	616
27	248	464	614
28	239	464	617
29	232	468	618
30	255	477	607
31	264	475	600
32	244	486	603
33	234	471	606
34	222	442	609
35	212	431	610
36	206	428	613
37	209	436	625
38	204	441	627
39	203	433	627
40	213	435	627
41	209	439	628
42	204	445	631
43	224	429	631
44	231	436	632
45	240	470	631
46	218	462	633
47	239	459	634
48	220	449	634
49	219	453	633
50	248	441	633
51	244	450	629
52	250	459	623
53	265	463	623
54	273	467	619
55	276	480	619
56	296	489	613
57	299	494	603
58	260	497	603
59	228	477	604
60	213	456	605
61	208	439	605
