1	202	418	595
2	203	417	595
3	209	416	596
4	208	420	595
5	209	423	599
6	209	421	603
7	218	407	602
8	226	413	602
9	230	420	604
10	250	429	602
11	276	439	600
12	285	463	601
13	290	475	603
14	254	464	607
15	238	456	611
16	232	437	617
17	250	439	614
18	278	457	611
19	283	479	605
20	272	479	603
21	269	460	606
22	268	447	609
23	269	441	610
24	261	435	612
25	255	439	614
26	253	439	615
27	253	434	617
28	254	437	620
29	256	443	624
30	256	440	627
31	255	439	633
32	270	452	638
33	277	455	650
34	305	464	643
35	307	471	639
36	315	481	640
37	324	481	638
38	300	490	633
39	271	478	628
40	265	454	633
41	255	434	635
42	245	425	640
43	244	423	639
44	284	440	640
45	290	466	633
46	304	480	624
47	284	491	615
48	259	476	618
49	241	460	618
50	231	442	625
51	229	434	625
52	226	438	622
53	226	436	615
54	230	433	610
55	227	432	616
56	233	438	628
57	236	429	635
58	238	442	631
59	238	448	629
60	238	442	629
61	239	438	626
