1	490	547
2	489	562
3	479	481
4	470	436
5	454	391
6	441	386
7	442	462
8	466	539
9	503	577
10	551	599
11	581	631
12	598	678
13	614	709
14	627	708
15	631	691
16	626	660
17	610	639
18	598	616
19	583	599
20	573	580
21	563	558
22	554	539
23	547	530
24	541	516
25	535	505
26	526	502
27	512	493
28	503	486
29	491	471
30	484	456
31	476	460
32	479	474
33	490	504
34	509	520
35	539	510
36	565	489
37	588	494
38	608	502
39	627	509
40	645	534
41	669	597
42	700	647
43	719	669
44	725	703
45	725	736
46	728	762
47	734	771
48	733	741
49	717	697
50	687	641
51	640	599
52	604	567
53	571	544
54	551	532
55	530	535
56	514	516
57	497	521
58	489	511
59	483	495
60	472	486
61	465	475
